trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.6, 'e': 0.2893842179390506}",25,0,19.656832268082326,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.6, 'e': 0.2836540264997704}",30,14,22.746746671754835,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.27803730045319414}",20,0,-50.416000025613755,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.6, 'e': 0.2725317930340126}",20,5,11.404382403910104,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.26713530196585034}",25,0,-95.55084749179719,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
68,False,"{'a': 0.6, 'e': 0.261845668580326}",20,11,15.235810806791521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.2566607769535559}",25,18,-20.43163026519422,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.25157855305975646}",20,0,18.15020533955726,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.24659696394160643}",25,16,17.924550050826177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.24171401689703645}",20,0,32.07431011395033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.23692775868212176}",20,0,23.17402483199956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.6, 'e': 0.23223627472975883}",25,9,24.795513027314467,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.22763768838381274}",25,20,7.831663876063304,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.22313016014842982}",20,11,5.907090615923085,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.6, 'e': 0.21871188695221475}",30,12,21.81007484634982,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
